Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -23.7490  -232.2124  1684.3366    -0.0162     0.1456    -0.9892     0.9755    -0.2147    -0.0476    -0.2194    -0.9658    -0.1385
  -23.7500  -232.0888  1683.4800     0.0134     0.1407    -0.9900     0.9953    -0.0973    -0.0004    -0.0964    -0.9853    -0.1414
  -23.7268  -231.9670  1682.6220     0.0394     0.1414    -0.9892     0.9843     0.1647     0.0628     0.1718    -0.9762    -0.1327
  -23.6831  -231.8412  1681.7648     0.0603     0.1503    -0.9868     0.7806     0.6091     0.1405     0.6222    -0.7787    -0.0806
  -23.6240  -231.7035  1680.9115     0.0752     0.1693    -0.9827     0.4416     0.8779     0.1851     0.8941    -0.4479    -0.0087
  -23.5546  -231.5453  1680.0661     0.0848     0.1993    -0.9763     0.1858     0.9594     0.2120     0.9789    -0.1994     0.0443
  -23.4789  -231.3574  1679.2330     0.0919     0.2409    -0.9662     0.1467     0.9564     0.2524     0.9849    -0.1649     0.0525
  -23.3978  -231.1320  1678.4168     0.0986     0.2895    -0.9521     0.1203     0.9463     0.3002     0.9878    -0.1441     0.0585
  -23.3093  -230.8632  1677.6214     0.1140     0.3511    -0.9294     0.2919     0.8824     0.3691     0.9496    -0.3134    -0.0019
  -23.1637  -230.4177  1676.5793     0.1371     0.4154    -0.8993     0.4247     0.7955     0.4322     0.8949    -0.4411    -0.0674
  -23.0858  -230.1882  1676.1034     0.1575     0.4473    -0.8804     0.5092     0.7271     0.4605     0.8461    -0.5209    -0.1132
  -22.9336  -229.7878  1675.3815     0.2034     0.4991    -0.8423     0.7140     0.5131     0.4764     0.6700    -0.6983    -0.2520
  -22.7431  -229.3546  1674.6820     0.2495     0.5257    -0.8132     0.7946     0.3689     0.4823     0.5535    -0.7665    -0.3257
  -22.5084  -228.8984  1674.0013     0.3009     0.5418    -0.7848     0.8871     0.1430     0.4389     0.3500    -0.8282    -0.4376
  -22.2275  -228.4292  1673.3352     0.3502     0.5453    -0.7616     0.9152    -0.0259     0.4023     0.1997    -0.8379    -0.5081
  -21.9028  -227.9555  1672.6797     0.3934     0.5407    -0.7436     0.9177    -0.1827     0.3526     0.0548    -0.8211    -0.5681
  -21.5412  -227.4834  1672.0318     0.4272     0.5329    -0.7304     0.9040    -0.2380     0.3551     0.0155    -0.8120    -0.5835
  -21.1525  -227.0150  1671.3909     0.4503     0.5277    -0.7202     0.8820    -0.1376     0.4507     0.1388    -0.8382    -0.5274
  -20.7481  -226.5483  1670.7583     0.4630     0.5296    -0.7107     0.5584     0.4484     0.6979     0.6883    -0.7200    -0.0882
  -20.3384  -226.0777  1670.1380     0.4669     0.5421    -0.6987    -0.0159     0.7951     0.6063     0.8842    -0.2720     0.3798
  -19.9320  -225.5951  1669.5359     0.4643     0.5666    -0.6807    -0.1280     0.8035     0.5814     0.8764    -0.1828     0.4456
  -19.5335  -225.0913  1668.9590     0.4583     0.6020    -0.6539    -0.1413     0.7756     0.6152     0.8775    -0.1896     0.4405
  -19.1440  -224.5578  1668.4142     0.4515     0.6448    -0.6167    -0.1016     0.7238     0.6824     0.8864    -0.2455     0.3924
  -18.7610  -223.9884  1667.9071     0.4464     0.6894    -0.5705    -0.0586     0.6587     0.7501     0.8929    -0.3014     0.3345
  -18.3802  -223.3806  1667.4409     0.4443     0.7303    -0.5189    -0.0052     0.5813     0.8137     0.8959    -0.3588     0.2621
  -17.9966  -222.7354  1667.0158     0.4454     0.7638    -0.4672     0.0474     0.5009     0.8642     0.8941    -0.4071     0.1869
  -17.6066  -222.0578  1666.6291     0.4490     0.7882    -0.4208     0.0959     0.4257     0.8998     0.8884    -0.4444     0.1155
  -17.2088  -221.3552  1666.2753     0.4535     0.8044    -0.3837     0.1308     0.3658     0.9215     0.8816    -0.4680     0.0606
  -16.8047  -220.6363  1665.9472     0.4567     0.8147    -0.3574     0.0908     0.3569     0.9297     0.8850    -0.4571     0.0890
  -16.3986  -219.9094  1665.6376     0.4570     0.8214    -0.3413    -0.1131     0.4343     0.8936     0.8822    -0.3698     0.2913
  -15.9960  -219.1810  1665.3398     0.4531     0.8268    -0.3335    -0.6638     0.5626     0.4928     0.5950    -0.0019     0.8037
  -15.6029  -218.4547  1665.0495     0.4443     0.8328    -0.3303    -0.8550     0.5043     0.1214     0.2677     0.2284     0.9360
  -15.2236  -217.7309  1664.7646     0.4319     0.8403    -0.3278    -0.8339     0.5104     0.2098     0.3436     0.1828     0.9212
  -14.8598  -217.0075  1664.4861     0.4176     0.8497    -0.3218    -0.7386     0.5238     0.4244     0.5292     0.0605     0.8464
  -14.5103  -216.2802  1664.2170     0.4047     0.8604    -0.3097    -0.4970     0.4912     0.7153     0.7676    -0.1356     0.6264
  -14.1702  -215.5444  1663.9616     0.3965     0.8710    -0.2901    -0.2113     0.3941     0.8944     0.8934    -0.2934     0.3403
  -13.8329  -214.7967  1663.7246     0.3949     0.8800    -0.2641     0.0746     0.2558     0.9638     0.9157    -0.4003     0.0353
  -13.4905  -214.0354  1663.5098     0.4008     0.8858    -0.2338     0.2876     0.1206     0.9501     0.8698    -0.4481    -0.2065
  -13.1358  -213.2619  1663.3200     0.4139     0.8877    -0.2017     0.4570    -0.0111     0.8894     0.7873    -0.4603    -0.4103
  -12.7631  -212.4803  1663.1563     0.4326     0.8854    -0.1701     0.5530    -0.1116     0.8256     0.7121    -0.4512    -0.5379
  -12.3695  -211.6967  1663.0188     0.4547     0.8795    -0.1400     0.6174    -0.1980     0.7613     0.6419    -0.4327    -0.6331
  -11.9548  -210.9187  1662.9072     0.4786     0.8709    -0.1112     0.6250    -0.2490     0.7399     0.6167    -0.4236    -0.6635
  -11.5210  -210.1532  1662.8218     0.5027     0.8606    -0.0817     0.5968    -0.2772     0.7530     0.6254    -0.4273    -0.6529
  -11.0712  -209.4056  1662.7642     0.5257     0.8492    -0.0492     0.5146    -0.2714     0.8134     0.6774    -0.4529    -0.5797
  -10.6092  -208.6788  1662.7376     0.5462     0.8376    -0.0113     0.4036    -0.2513     0.8797     0.7340    -0.4850    -0.4754
  -10.1379  -207.9723  1662.7466     0.5628     0.8259     0.0339     0.2745    -0.2254     0.9348     0.7797    -0.5169    -0.3535
   -9.6593  -207.2828  1662.7965     0.5746     0.8139     0.0859     0.1580    -0.2132     0.9641     0.8031    -0.5404    -0.2511
   -9.1743  -206.6049  1662.8919     0.5804     0.8019     0.1418     0.0444    -0.2050     0.9778     0.8131    -0.5612    -0.1546
   -8.6835  -205.9321  1663.0353     0.5801     0.7904     0.1970    -0.0554    -0.2030     0.9776     0.8126    -0.5780    -0.0740
   -8.1877  -205.2584  1663.2262     0.5747     0.7804     0.2464    -0.1639    -0.1853     0.9689     0.8018    -0.5973     0.0214
   -7.6888  -204.5792  1663.4600     0.5657     0.7734     0.2862    -0.2865    -0.1412     0.9476     0.7733    -0.6180     0.1417
   -7.1901  -203.8923  1663.7285     0.5543     0.7704     0.3149    -0.4692    -0.0233     0.8828     0.6875    -0.6371     0.3485
   -6.6965  -203.1982  1664.0209     0.5419     0.7718     0.3327    -0.6948     0.1885     0.6941     0.4730    -0.6073     0.6384
   -6.2133  -202.4997  1664.3256     0.5291     0.7769     0.3412    -0.8460     0.4518     0.2831     0.0658    -0.4385     0.8963
   -5.7456  -201.8013  1664.6321     0.5165     0.7845     0.3432    -0.8309     0.5560    -0.0206    -0.2070    -0.2745     0.9390
   -5.2967  -201.1080  1664.9336     0.5048     0.7924     0.3425    -0.8261     0.5586    -0.0747    -0.2505    -0.2452     0.9365
   -4.8670  -200.4243  1665.2283     0.4954     0.7977     0.3440    -0.8436     0.3472     0.4096     0.2073    -0.4931     0.8449
   -4.4536  -199.7535  1665.5203     0.4891     0.7978     0.3526    -0.3226    -0.2102     0.9229     0.8104    -0.5651     0.1546
   -4.0510  -199.0971  1665.8189     0.4865     0.7901     0.3727    -0.0169    -0.4181     0.9083     0.8735    -0.4482    -0.1901
   -3.6518  -198.4550  1666.1371     0.4870     0.7740     0.4048     0.0306    -0.4782     0.8777     0.8729    -0.4151    -0.2566
   -3.2492  -197.8257  1666.4889     0.4878     0.7482     0.4497     0.0000    -0.5152     0.8571     0.8730    -0.4181    -0.2513
   -2.8722  -197.2575  1666.8545     0.4860     0.7211     0.4937    -0.0720    -0.5300     0.8449     0.8710    -0.4462    -0.2057
   -2.4220  -196.5996  1667.3383     0.4779     0.6885     0.5455    -0.1855    -0.5278     0.8288     0.8586    -0.4973    -0.1245
   -2.0036  -196.0011  1667.8457     0.4616     0.6590     0.5938    -0.3798    -0.4581     0.8037     0.8016    -0.5965     0.0389
   -1.5954  -195.4133  1668.4041     0.4361     0.6369     0.6357    -0.5650    -0.3561     0.7443     0.7005    -0.6837     0.2046
   -1.2122  -194.8384  1669.0031     0.4002     0.6216     0.6734    -0.7464    -0.2053     0.6331     0.5318    -0.7559     0.3818
   -0.8696  -194.2789  1669.6288     0.3537     0.6135     0.7061    -0.8595    -0.0846     0.5041     0.3690    -0.7851     0.4974
   -0.5802  -193.7369  1670.2670     0.2979     0.6106     0.7338    -0.9221    -0.0147     0.3866     0.2468    -0.7918     0.5587
   -0.3502  -193.2132  1670.9064     0.2377     0.6103     0.7557    -0.9549     0.0045     0.2968     0.1777    -0.7922     0.5839
   -0.1763  -192.7064  1671.5410     0.1823     0.6097     0.7714    -0.9679    -0.0268     0.2499     0.1730    -0.7922     0.5852
   -0.0455  -192.2130  1672.1714     0.1442     0.6062     0.7822    -0.9282    -0.1911     0.3193     0.3430    -0.7720     0.5351
    0.0648  -191.7275  1672.8047     0.1352     0.5984     0.7897     0.5420    -0.7119     0.4466     0.8294     0.3676    -0.4206
    0.1828  -191.2439  1673.4518     0.1593     0.5853     0.7950     0.9243    -0.3713     0.0882     0.3468     0.7208    -0.6001
    0.3378  -190.7570  1674.1246     0.2109     0.5665     0.7966     0.9450    -0.3266    -0.0179     0.2500     0.7566    -0.6042
    0.5544  -190.2642  1674.8309     0.2773     0.5427     0.7928     0.9335    -0.3473    -0.0888     0.2272     0.7648    -0.6029
    0.8471  -189.7673  1675.5711     0.3449     0.5164     0.7838     0.9152    -0.3703    -0.1587     0.2083     0.7721    -0.6004
    1.2160  -189.2731  1676.3347     0.4045     0.4908     0.7717     0.8900    -0.4055    -0.2087     0.2105     0.7712    -0.6008
    1.6454  -188.7944  1677.0994     0.4529     0.4680     0.7589     0.8686    -0.4236    -0.2572     0.2011     0.7756    -0.5983
    2.1048  -188.3484  1677.8320     0.4899     0.4493     0.7471     0.8477    -0.4455    -0.2880     0.2035     0.7744    -0.5991
    2.5527  -187.9557  1678.4918     0.5169     0.4346     0.7375     0.8305    -0.4636    -0.3089     0.2077     0.7721    -0.6006
    2.9430  -187.6376  1679.0357     0.5358     0.4239     0.7302     0.8202    -0.4666    -0.3310     0.2004     0.7762    -0.5977
    3.3089  -187.3551  1679.5252     0.5507     0.4154     0.7240     0.8123    -0.4662    -0.3504     0.1919     0.7811    -0.5942

